Issue No,Priority,Screen/Topic,Issue Description (VN),Dicussion item
1,Critical,NPP thuộc đội,Nút tạo mới chưa dùng được,"Mong muốn: chọn tạo mới mở ra màn hình tạo mới thông tin NPP thuộc đội. Nguyên nhân: ListUrl số nhiều (/MasterData/DistributorOfTeams) không khớp @page số ít (/MasterData/DistributorOfTeam). File: DistributorOfTeamListView.razor.cs:70 vs DistributorOfTeamListView.razor:1 vs DistributorOfTeam.razor:1. Sửa kèm DistributorOfTeam.razor.cs:318 nếu chọn phương án đổi @page. Cùng gốc với Issue 2."
2,Critical,NPP thuộc đội,Không xem được chi tiết,"Mong muốn: chọn xem chi tiết vào đúng chi tiết của line đó. Cùng nguyên nhân gốc Issue 1 (GotoEditPage tại DistributorOfTeamListView.razor.cs:676 dùng cùng ListUrl). Defect bậc 2: hyperlink chỉ render khi DocumentCode != null và nội dung là TruncateText -> dòng có mã rỗng không có vùng bấm (DistributorOfTeamListView.razor:174-189)."
3,High,Nhóm sản phẩm SKU,"Hiện lỗi Forbidden khi vào màn hình tạo mới, chọn dữ liệu. Role NPP thì lỗi, admin + NPP thì không","Mong muốn: mất popup lỗi, cho lưu phiếu thành công. Nguyên nhân: (1) page gate ProductGroupingSKU.razor:3 yêu cầu Inventory.ProductGroupingSKUs.Access; (2) lệch nhóm quyền - UI gate bằng InventoryPermissions.ProductGroupingSKUs.* nhưng server enforce MasterDataPermissions.ProductGroupings.* / ProductGroupItem.*. Cần chốt: chỉ cấp quyền hay sửa lệch cấu trúc."
4,Medium,Đơn hàng nhà phân phối,"Nút Xem trước đơn đặt hàng không hoạt động","Mong muốn: click thì Xem trước hóa đơn trên Web. Nguyên nhân: handler là lambda rỗng tại DistributorOrderForm.razor.cs:511 (async () => { }). Mẫu tham chiếu: SalesOrdersListView.razor.cs:1617-1640 PreviewDCSalesOrderInvoiceFromListAsync. Gate hiện dùng CanEditString - sai bản chất, nên đổi .Access. Cùng gốc Issue 6."
5,Low,Đơn hàng nhà phân phối,Dropdown trường Trạng thái ở bộ lọc xổ sai vị trí,"Mong muốn: dropdown xổ ngay dưới ô nhập liệu. Đã loại trừ: markup không set DropDownDirection/PositionTarget (0 hit); CSS repo không override vị trí popup. Giả thuyết còn lại (chưa kiểm chứng): popup tính anchor rect khi tab host còn ẩn -> rect 0 -> render tại gốc viewport. Cần debug browser. Cùng gốc Issue 11."
6,Medium,Duyệt đơn hàng nhà phân phối,"Nút Xem trước đơn đặt hàng không hoạt động","Mong muốn: click thì Xem trước hóa đơn trên Web. Handler lambda rỗng tại DistributorOrderForm.razor.cs:390. Cùng component dùng chung với Issue 4 -> một implement giải quyết cả hai."
7,Critical,Đơn hàng nhà phân phối,Nhóm sản phẩm SKU có nhiều mã sản phẩm nhưng chỉ tính giá KM dựa trên 1 item code version mới nhất,"Mong muốn: bấm chi tiết mã nhóm hiện popup các line mã SP thuộc nhóm để chọn số lượng, OK thì lưu chi tiết, tính giá dựa trên các chi tiết tổng cộng với nhau. Đối chiếu BP 4.3: cùng 1 SKU chọn nhiều item code, tổng SL phải bằng SL SKU NPP đặt. Code hiện tại KHÔNG reduce về 1 - GetProductsForComboboxFromSKUDetailByIdAsync:1736 và GetProductsNewVersion:1803 đều OrderByDescending(CreationTime) rồi trả CẢ danh sách; thiếu popup chọn SL. Có phần phát triển mới. Cần chốt phạm vi (màn nào) trước khi code."
8,Critical,Đơn hàng nhà phân phối,Đã điền đủ và đúng các trường trong file template nhưng import vẫn báo lỗi,"Mong muốn: import thành công và hiển thị thông báo tạo đơn hàng thành công. Nguyên nhân trực tiếp: khách hàng 1420000187 chưa gán CustomerType (dữ liệu master). Vị trí: SalesOrderAppService.Extended.cs:8436-8451 (throw), :8421 (query Customer), :7915-7924 (customerCode đọc 1 lần từ ô C3 cho cả file). Defect kèm: D2 lộ StackTrace ra user (:8062) - ưu tiên sửa; D3 throw Exception trần; D4 Success = createdOrders.Count > 0 sai; D1 lỗi trùng lặp; D5 thiếu else khi customerType null."
9,High,NPP thuộc đội,Hệ thống báo import thành công nhưng danh sách không hiển thị dòng dữ liệu mới,"Mong muốn: sau import hiển thị thông báo thành công và danh sách có thêm dòng vừa thêm. LƯU Ý: handler CÓ gọi refresh (DistributorOfTeamListView.razor.cs:411) - không phải thiếu reload. Nghi vấn N1 (khả nghi nhất): refresh chạy vô điều kiện TRƯỚC khi kiểm tra result.Success (:413) và trước finally (:446) -> có thể query trước khi import commit. N2: Reload() không await, bị ClearFilter() chen ngay sau (:763-764). N3: reset Filter làm mất filter user. Cần reproduce để chốt."
10,Medium,Đơn hàng nhà phân phối,Đơn hàng NPP ở trạng thái hủy vẫn hiển thị button Xem trước đơn đặt hàng,"Mong muốn: trạng thái Hủy thì ẩn button Xem trước. LƯU Ý: tracker ghi màn hình NPP thuộc đội nhưng ảnh chụp là màn Đơn hàng nhà phân phối - chi tiết eSO000000104 trạng thái Huỷ; xử lý theo ảnh. Nguyên nhân: DistributorOrderForm.razor.cs:507 chỉ check EditingDocId != Guid.Empty, thiếu điều kiện status - trong khi instance màn duyệt tại :386 ĐÃ có && EditingDoc.Status != Huỷ. Sửa 1 dòng. Lưu ý copy đúng chuỗi Huỷ (dấu ngã) từ :386."
11,Medium,Tạo mới đơn hàng NPP,Bảng chọn ngày của field Ngày đặt hàng xổ sai vị trí,"Mong muốn: click vào field thì bảng chọn ngày xổ ngay dưới field. Cùng cơ chế Issue 5. DxDateEdit tại DistributorOrderForm.razor:174-190 không khai báo thuộc tính vị trí nào. Cần debug browser để chốt cơ chế."
12,Critical,Tạo mới đơn hàng NPP,"Đơn đã tính giá hoặc KM, user đổi ngày đặt hàng thì khi lưu chưa yêu cầu tính lại giá và KM","Mong muốn: khi lưu hiển thị Vui lòng tính lại giá và khuyến mại do có sự thay đổi ngày đặt hàng, và giữ nguyên trạng thái đơn hàng. Nguyên nhân: (1) DateChanged tại DistributorOrderForm.razor:182-186 không clear EditingDoc.IsPromotion; (2) guard hasRecordDateChanged chỉ tồn tại trong CalculatePromotions() (:3715-3723), KHÔNG có ở SaveDataNewAsync (:835) / SaveDataAsync (:1007); (3) SaveDataNewAsync:915 gán RecordDate = OrderDate làm mất bằng chứng. LƯU Ý: SalesOrder1.razor.cs:6711 tính hasRecordDateChanged nhưng KHÔNG dùng - không copy mẫu từ SalesOrder."
13,High,Thông tin chi tiết đơn hàng,Đăng nhập role NPP vào đơn trạng thái chờ xác nhận vẫn thực hiện Duyệt đơn được,"Mong muốn: role NPP không thể duyệt đơn hàng NPP. Vi phạm BP 4.3 (đối tượng sử dụng: nhân viên AVN). Nguyên nhân: (1) OrderManagementPermissions.cs:49-56 KHÔNG có hằng Approve - nút Duyệt đơn (:421-450) gate bằng ApproveDistributorOrders.Edit; (2) nhánh IsApproveScreen (:253-261) bỏ qua CheckUserAccessScreen và bỏ qua scoping sales team (:273-274) mặc dù DistributorOrderPermissionHelper đã implement sẵn. Defect kèm: nút Huỷ (:472-484) điều kiện đòi Delete nhưng policy khẳng định Edit, hai nhánh ternary là dead code."
